whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
McClelland's Islay Single Malt,7.93,0.66,8,$$,SingleMalt-like,J,J,Scotland,Malt,islay mcclelland
McClelland's Lowland Single Malt,7.03,0.54,4,$$,SingleMalt-like,GH,H,Scotland,Malt,lowland mcclelland
McClelland's Speyside Single Malt,6.71,0.48,6,$$,SingleMalt-like,EF,F,Scotland,Malt,mcclelland speyside
Mellow Corn BiB,7.8,0.47,11,$,Bourbon-like,,,USA,Bourbon,bib corn mellow
Michter's 10yo Single Barrel Bourbon,8.82,0.38,9,$$$$$+,Bourbon-like,,,USA,Bourbon,10 barrel michter single
Michter's 10yo Single Barrel Rye,8.78,0.33,5,$$$$$+,Rye-like,,,USA,Rye,10 barrel michter rye single
Michter's 20yo Single Barrel Bourbon,8.95,0.38,4,$$$$$+,Bourbon-like,,,USA,Bourbon,20 barrel michter single
Michter's Barrel Strength Rye,8.97,0.23,4,$$$$,Rye-like,,,USA,Rye,barrel michter rye strength
Michter's Single Barrel Straight Rye,8.68,0.45,10,$$$,Rye-like,,,USA,Rye,barrel michter rye single straight
Michter's Small Batch Bourbon,8.5,0.31,11,$$$,Bourbon-like,,,USA,Bourbon,batch michter small
Michter's Sour Mash,8.36,0.08,3,$$$,Bourbon-like,,,USA,Bourbon,mash michter sour
Michter's Toasted Barrel,8.41,0.15,5,$$$$,Bourbon-like,,,USA,Bourbon,barrel michter toasted
Midleton Barry Crockett Legacy,9.07,0.24,9,$$$$$,SingleMalt-like,GH,G,Ireland,Blend,barry crockett legacy midleton
Midleton Dair Ghaelach,9.09,0.3,7,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,dair ghaelach midleton
Midleton Very Rare (all vintages),8.81,0.51,11,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,midleton rare
Millstone 100 Rye,8.69,0.33,9,$$$$,Rye-like,,,Netherlands,Rye,100 millstone rye
Millstone 12yo Sherry Cask,8.95,0.25,7,$$$$,SingleMalt-like,ABC,C,Netherlands,Malt,12 cask millstone sherry
Millstone 8yo French Oak,7.95,0.67,4,$$$$,SingleMalt-like,EF,E,Netherlands,Malt,8 french millstone oak
Miltonduff 10yo (F&F),8.08,0.45,4,$$$,SingleMalt-like,EF,E,Scotland,Malt,10 ff miltonduff
Monkey Shoulder,8.31,0.4,16,$$,SingleMalt-like,EF,E,Scotland,Malt,monkey shoulder
Mortlach 15yo (Gordon & MacPhail),8.67,0.35,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,15 gordon macphail mortlach
Mortlach 16yo (F&F),8.68,0.29,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,16 ff mortlach
Mortlach 18yo,8.71,0.6,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,18 mortlach
Mortlach Rare Old,8.42,0.46,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,mortlach rare
Mortlach Special Strength,8.8,0.58,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,mortlach special strength
Nikka All Malt,8.45,0.16,8,$$,SingleMalt-like,EF,E,Japan,Malt,all malt nikka
Nikka Coffey Grain,8.59,0.49,15,$$$$,Scotch-like,,,Japan,Grain,coffey grain nikka
Nikka Coffey Malt,8.8,0.44,9,$$$$,SingleMalt-like,EF,E,Japan,Malt,coffey malt nikka
Nikka From the Barrel,8.82,0.39,21,$$$,SingleMalt-like,EF,F,Japan,Blend,barrel from nikka the
Nikka Gold & Gold,8.17,0.34,7,$$$,SingleMalt-like,GH,G,Japan,Malt,gold gold nikka
Nikka Miyagikyo 10yo,8.45,0.33,7,$$$$,SingleMalt-like,I,I,Japan,Malt,10 miyagik nikka
Nikka Miyagikyo 12yo,8.56,0.33,7,$$$$,SingleMalt-like,I,I,Japan,Malt,12 miyagik nikka
Nikka Miyagikyo 15yo,8.67,0.29,11,$$$$$,SingleMalt-like,I,I,Japan,Malt,15 miyagik nikka
Nikka Miyagikyo NAS,8.47,0.37,5,$$$$,SingleMalt-like,GH,H,Japan,Malt,miyagik nikka
Nikka Pure Malt Black,8.79,0.22,13,$$$,SingleMalt-like,I,I,Japan,Malt,black malt nikka pure
Nikka Pure Malt Red,8.53,0.33,9,$$$,SingleMalt-like,EF,E,Japan,Malt,malt nikka pure red
Nikka Pure Malt White,8.65,0.32,12,$$$,SingleMalt-like,I,I,Japan,Malt,malt nikka pure white
Nikka Single Cask Coffey Malt 12yo,9.11,0.48,9,$$$$$,SingleMalt-like,ABC,C,Japan,Malt,12 cask coffey malt nikka single
Nikka Super,8.0,0.46,8,$$$,SingleMalt-like,EF,E,Japan,Malt,nikka super
Nikka Taketsuru 12yo,8.37,0.36,17,$$$$,SingleMalt-like,EF,E,Japan,Malt,12 nikka taketsuru
Nikka Taketsuru 17yo,8.75,0.26,12,$$$$$,SingleMalt-like,EF,E,Japan,Malt,17 nikka taketsuru
Nikka Taketsuru 21yo,8.97,0.28,16,$$$$$,SingleMalt-like,ABC,C,Japan,Malt,21 nikka taketsuru
Nikka Taketsuru NAS,8.24,0.37,5,$$$$,SingleMalt-like,GH,G,Japan,Malt,nikka taketsuru
Nikka Yoichi 10yo,8.68,0.27,16,$$$$,SingleMalt-like,I,I,Japan,Malt,10 ichi nikka
Nikka Yoichi 12yo,8.76,0.2,9,$$$$$,SingleMalt-like,I,I,Japan,Malt,12 ichi nikka
Nikka Yoichi 15yo,8.97,0.27,14,$$$$$,SingleMalt-like,I,I,Japan,Malt,15 ichi nikka
Nikka Yoichi NAS,8.44,0.32,9,$$$$,SingleMalt-like,I,I,Japan,Malt,ichi nikka
Oban 14yo,8.45,0.4,15,$$$$,SingleMalt-like,I,I,Scotland,Malt,14 oban
Oban 18yo,8.73,0.18,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 oban
Oban 21yo,9.04,0.25,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,21 oban
Oban Distillers Edition (all vintages),8.71,0.24,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,distillers edition oban
Oban Little Bay,8.39,0.43,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,bay little oban
Old Ballantruan Peated (Toumintoul),8.25,0.4,8,$$$$,SingleMalt-like,I,I,Scotland,Malt,ballantruan old peated toumintoul
Old Fitzgerald BiB,7.98,0.38,4,$$$,Bourbon-like,,,USA,Bourbon,bib fitzgerald old
Old Fitzgerald Kentucky Straight Bourbon,8.43,0.52,6,$$,Bourbon-like,,,USA,Bourbon,fitzgerald kentucky old straight
Old Forester,8.11,0.43,11,$$,Bourbon-like,,,USA,Bourbon,forester old
Old Forester 1897 BiB,8.11,0.6,4,$$$,Bourbon-like,,,USA,Bourbon,1897 bib forester old
Old Forester 1920 Prohibition Style,8.87,0.21,3,$$$$,Bourbon-like,,,USA,Bourbon,1920 forester old prohibition style
Old Forester Birthday (2012-2016),8.75,0.15,9,$$$$$,Bourbon-like,,,USA,Bourbon,2012 2016 birthday forester old
Old Forester Signature (100 Proof),8.36,0.4,8,$$,Bourbon-like,,,USA,Bourbon,100 forester old proof signature
Old Grand-Dad Bourbon (80/86 Proof),8.04,0.51,10,$$,Bourbon-like,,,USA,Bourbon,80/86 dad grand old proof
Old Grand-Dad Bourbon 100 BiB,8.37,0.54,9,$$,Bourbon-like,,,USA,Bourbon,100 bib dad grand old
Old Grand-Dad Bourbon 114,8.63,0.24,9,$$,Bourbon-like,,,USA,Bourbon,114 dad grand old
Old Pulteney 12yo,8.42,0.27,23,$$$,SingleMalt-like,EF,E,Scotland,Malt,12 old pulteney
Old Pulteney 17yo,8.83,0.27,17,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,17 old pulteney
Old Pulteney 21yo,8.77,0.48,15,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,21 old pulteney
Old Pulteney Navigator,8.3,0.4,10,$$$,SingleMalt-like,EF,E,Scotland,Malt,navigator old pulteney
Old Rip Van Winkle 10yo,9.03,0.21,8,$$$$$+,Bourbon-like,,,USA,Bourbon,10 old rip van winkle
Old Weller Antique 107,8.68,0.41,10,$$,Bourbon-like,,,USA,Bourbon,107 antique old weller
Orphan Barrel Barterhouse Bourbon 20yo,8.72,0.4,12,$$$$$,Bourbon-like,,,USA,Bourbon,20 barrel barterhouse orphan
P&M Blended Whisky,7.46,0.97,5,$,Scotch-like,,,France,Blend,blended pm
Pappy Van Winkle Family Reserve Bourbon 15yo,9.24,0.24,10,$$$$$+,Bourbon-like,,,USA,Bourbon,15 family pappy reserve van winkle
Pappy Van Winkle Family Reserve Bourbon 20yo,9.25,0.35,12,$$$$$+,Bourbon-like,,,USA,Bourbon,20 family pappy reserve van winkle
Pappy Van Winkle Family Reserve Bourbon 23yo,8.75,0.52,4,$$$$$+,Bourbon-like,,,USA,Bourbon,23 family pappy reserve van winkle
Parkers Heritage 10th 24yo Kentucky Straight Bourbon,8.65,0.96,3,$$$$$+,Bourbon-like,,,USA,Bourbon,10th 24 heritage kentucky parkers straight
Parkers Heritage 2nd 27yo Kentucky Straight Boubon,9.28,0.37,3,$$$$$+,Bourbon-like,,,USA,Bourbon,27 2nd boubon heritage kentucky parkers straight
Parkers Heritage 4th 10yo Wheated Mash Bill Bourbon,9.09,0.22,5,$$$$$+,Bourbon-like,,,USA,Bourbon,10 4th bill heritage mash parkers wheated
Parkers Heritage 5th 10yo Cognac Barrel Finished,9.01,0.3,8,$$$$$+,Bourbon-like,,,USA,Bourbon,10 5th barrel cognac finished heritage parkers
Parkers Heritage 6th Blend of Mashbills,9.05,0.12,6,$$$$$+,Bourbon-like,,,USA,Bourbon,6th blend heritage mashbills of parkers
Parkers Heritage 7th 10yo Promise of Hope,9.15,0.18,7,$$$$$+,Bourbon-like,,,USA,Bourbon,10 7th heritage hope of parkers promise
Parkers Heritage 8th 13yo Wheat Whiskey,8.77,0.54,8,$$$$$+,Bourbon-like,,,USA,Bourbon,13 8th heritage parkers wheat
Parkers Heritage 9th 8yo Malt Whiskey,8.41,0.54,5,$$$$$,Bourbon-like,,,USA,Bourbon,8 9th heritage malt parkers
Paul John Bold,8.81,0.23,4,$$$,SingleMalt-like,I,I,India,Malt,bold john paul
Paul John Brilliance,8.51,0.42,6,$$$,SingleMalt-like,EF,E,India,Malt,brilliance john paul
Paul John Classic Select Cask,8.59,0.4,6,$$$$,SingleMalt-like,EF,E,India,Malt,cask classic john paul select
Paul John Edited,8.41,0.58,6,$$$,SingleMalt-like,I,I,India,Malt,edited john paul
Paul John Peated Select Cask,8.76,0.28,8,$$$$,SingleMalt-like,I,I,India,Malt,cask john paul peated select
Paul John Single Cask,8.9,0.35,5,$$$$,SingleMalt-like,EF,E,India,Malt,cask john paul single
Penderyn Aur Cymru,7.73,0.58,8,$$$$,SingleMalt-like,EF,E,Wales,Malt,aur cymru penderyn
Penderyn Legend,7.49,0.87,4,$$$,SingleMalt-like,ABC,B,Wales,Malt,legend penderyn
Penderyn Madeira,7.91,0.96,13,$$$$,SingleMalt-like,ABC,B,Wales,Malt,madeira penderyn
Penderyn Peated,8.3,0.57,9,$$$$,SingleMalt-like,I,I,Wales,Malt,peated penderyn
Penderyn Portwood,8.61,0.39,5,$$$,SingleMalt-like,ABC,C,Wales,Malt,penderyn portwood
Penderyn Sherrywood,7.73,0.6,9,$$$$,SingleMalt-like,ABC,B,Wales,Malt,penderyn sherrywood
Pendleton (Let'er Buck),8.01,0.49,14,$$,Rye-like,,,Canada,Blend,buck let'er pendleton
Pendleton 1910,8.34,0.49,8,$$,Rye-like,,,Canada,Blend,1910 pendleton
Pike Creek 10yo Port-finished,8.28,0.52,12,$$,Rye-like,,,Canada,Blend,10 creek finished pike port
Pike Creek 10yo Rum-finished,8.66,0.24,3,$$,Rye-like,,,Canada,Blend,10 creek finished pike rum
Pikesville Straight Rye,8.73,0.48,13,$$$$,Rye-like,,,USA,Rye,pikesville rye straight
Port Charlotte 10yo Heavily Peated,8.65,0.27,4,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 charlotte heavily peated port
Port Charlotte An Turas Mor,8.71,0.28,10,$$$$,SingleMalt-like,I,I,Scotland,Malt,an charlotte mor port turas
Port Charlotte Islay Barley Heavily Peated,8.89,0.17,3,$$$$,SingleMalt-like,J,J,Scotland,Malt,barley charlotte heavily islay peated port
Port Charlotte PC10 (Second Edition),8.88,0.17,3,$$$$,SingleMalt-like,I,I,Scotland,Malt,charlotte edition pc10 port second
Port Charlotte PC10 Tro Na Linntean,8.97,0.46,9,$$$$$,SingleMalt-like,I,I,Scotland,Malt,charlotte linntean na pc10 port tro
Port Charlotte PC11 Eorna Na H-Alba,8.91,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt,alba charlotte eorna h na pc11 port
Port Charlotte PC12 Oileanach Furachail,8.67,0.61,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt,charlotte furachail oileanach pc12 port
Port Charlotte Scottish Barley Heavily Peated,8.76,0.26,15,$$$$,SingleMalt-like,I,I,Scotland,Malt,barley charlotte heavily peated port scottish
Port Charlotte The Peat Project,8.5,0.4,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,charlotte peat port project the
Potter's Special Old,8.41,0.42,4,$,Rye-like,,,Canada,Blend,old potter special
Powers 12yo John's Lane,8.82,0.39,14,$$$$,Scotch-like,,,Ireland,Blend,12 john lane powers
Powers 12yo Reserve,8.62,0.25,6,$$$,Scotch-like,,,Ireland,Blend,12 powers reserve
Powers Gold Label,7.99,0.52,11,$$,Scotch-like,,,Ireland,Blend,gold powers
Powers Signature Release,8.22,0.52,4,$$$,Scotch-like,,,Ireland,Blend,powers release signature
Prichards Rye,8.44,0.32,3,$$$$,Rye-like,,,USA,Rye,prichards rye
Proof Whisky,7.22,0.81,9,$$,Rye-like,,,Canada,Blend,proof
Rebel Yell Kentucky Bourbon,7.59,0.59,11,$,Bourbon-like,,,USA,Bourbon,rebel yell
Redbreast 12yo,8.75,0.41,21,$$$,SingleMalt-like,EF,E,Ireland,Malt,12 redbreast
Redbreast 12yo Cask Strength,9.07,0.35,17,$$$$,SingleMalt-like,EF,E,Ireland,Malt,12 cask redbreast strength
Redbreast 15yo,8.74,0.26,13,$$$$,SingleMalt-like,EF,E,Ireland,Malt,15 redbreast
Redbreast 21yo,9.16,0.32,14,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt,21 redbreast
Redbreast All Sherry Single Cask 1999,8.42,0.91,4,$$$$$,SingleMalt-like,ABC,A,Ireland,Malt,1999 all cask redbreast sherry single
Redbreast Lustau Edition,8.88,0.33,6,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,edition lustau redbreast
Redbreast Mano a Lmh,8.67,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt,a lmh mano redbreast
Redemption High Rye Bourbon,7.82,0.42,4,$$,Bourbon-like,,,USA,Bourbon,redemption rye
Rich and Rare,7.7,0.6,5,$,Rye-like,,,Canada,Blend,rare rich
Rich and Rare Reserve,7.96,0.29,6,$,Rye-like,,,Canada,Blend,and rare reserve rich
Rittenhouse Rye 100 Proof,8.58,0.24,15,$$,Rye-like,,,USA,Rye,100 proof rittenhouse rye
Royal Brackla 12yo,8.26,0.47,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt,12 brackla royal
Royal Brackla 16yo,8.76,0.23,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,16 brackla royal
Royal Brackla 21yo,8.8,0.18,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,21 brackla royal
Royal Canadian Small Batch,8.04,0.35,12,$$,Rye-like,,,Canada,Blend,batch canadian royal small
Royal Lochnagar 12yo,7.92,0.3,11,$$,SingleMalt-like,ABC,C,Scotland,Malt,12 lochnagar royal
Russell's Reserve 6yo Rye,8.7,0.28,7,$$$,Rye-like,,,USA,Rye,6 reserve russell rye
Russell's Reserve Single Barrel,8.82,0.47,8,$$$$,Bourbon-like,,,USA,Bourbon,barrel reserve russell single
Russell's Reserve Small Batch 10yo Bourbon,8.54,0.29,14,$$,Bourbon-like,,,USA,Bourbon,10 batch reserve russell small
Sazerac 18yo,8.94,0.35,13,$$$$$+,Rye-like,,,USA,Rye,18 sazerac
Sazerac Straight Rye,8.59,0.46,13,$$,Rye-like,,,USA,Rye,rye sazerac straight
Scapa 16yo,8.29,0.27,14,$$$$,SingleMalt-like,EF,E,Scotland,Malt,16 scapa
Scapa Skiren,7.8,0.55,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt,scapa skiren
Schenley Golden Wedding,7.88,0.7,9,$,Rye-like,,,Canada,Blend,golden schenley wedding
Seagram's Canadian 83,7.36,0.81,7,$,Rye-like,,,Canada,Blend,83 canadian seagram
Seagram's VO,7.79,0.69,9,$,Rye-like,,,Canada,Blend,seagram vo
Sheep Dip 1999 Amoroso Blended Malt,8.71,0.57,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt,1999 amoroso blended dip malt sheep
Sheep Dip Blended Malt,8.46,0.33,11,$$,SingleMalt-like,GH,H,Scotland,Malt,blended dip malt sheep
Sheep Dip Old Hebridean 1990 Blended Malt,9.12,0.2,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,1990 blended dip hebridean malt old sheep
Silk Tassel,7.73,0.71,4,$,Rye-like,,,Canada,Blend,silk tassel
Smgen Primr,8.51,0.24,4,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt,primr smgen
Smgen Single Cask (2010/2011),8.91,0.15,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt,2010/2011 cask single smgen
Smooth Ambler Old Scout 10yo Bourbon,8.62,0.44,3,$$$$,Bourbon-like,,,USA,Bourbon,10 ambler old scout smooth
Smooth Ambler Old Scout 7yo Bourbon,8.51,0.38,9,$$$,Bourbon-like,,,USA,Bourbon,7 ambler old scout smooth
Smooth Ambler Old Scout 7yo Rye,8.56,0.36,6,$$$,Rye-like,,,USA,Rye,7 ambler old rye scout smooth
Smooth Ambler Old Scout Single Barrel Bourbon,8.89,0.24,5,$$$$,Bourbon-like,,,USA,Bourbon,ambler barrel old scout single smooth
Smooth Ambler Old Scout Yearling Bourbon,7.88,1.24,3,$$$,Bourbon-like,,,USA,Bourbon,ambler ling old scout smooth
Speyburn 10yo,8.07,0.33,18,$$,SingleMalt-like,GH,H,Scotland,Malt,10 speyburn
Speyside 10yo,7.71,0.64,4,$$$,SingleMalt-like,EF,E,Scotland,Malt,10 speyside
Speyside 12yo,7.86,0.61,10,$$,SingleMalt-like,GH,H,Scotland,Malt,12 speyside
Spirit of Hven Sankt Claus,8.6,0.58,3,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt,claus hven of sankt spirit
Spirit of Hven Seven Stars No. 1 Dubhe,8.29,0.41,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt,1 dubhe hven of seven spirit stars
Spirit of Hven Seven Stars No. 2 Merak,8.38,0.26,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt,2 hven merak of seven spirit stars
Spirit of Hven Seven Stars No. 3 Phecda,8.53,0.34,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt,3 hven of phecda seven spirit stars
Spirit of Hven Tychos Star,8.57,0.07,3,$$$$,SingleMalt-like,I,I,Sweden,Malt,hven of spirit star tychos
Spirit of Hven Urania,8.56,0.46,3,$$$$$+,SingleMalt-like,GH,H,Sweden,Malt,hven of spirit urania
Springbank 10yo,8.7,0.25,19,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 springbank
Springbank 11yo Local Barley,9.1,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt,11 barley local springbank
Springbank 12yo Cask Strength,8.87,0.25,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 cask springbank strength
Springbank 12yo Green,8.8,0.27,8,$$$$,SingleMalt-like,I,I,Scotland,Malt,12 green springbank
Springbank 13yo Green,8.89,0.21,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,13 green springbank
Springbank 15yo,8.69,0.24,17,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,15 springbank
Springbank 16yo Local Barley,9.08,0.16,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt,16 barley local springbank
Springbank 18yo,8.96,0.18,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 springbank
Springbank 21yo,8.98,0.22,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,21 springbank
Springbank CV,8.25,0.37,8,$$$,SingleMalt-like,I,I,Scotland,Malt,cv springbank
St George's Chapter 6 (unpeated),8.24,0.47,10,$$$,SingleMalt-like,GH,G,England,Malt,6 chapter george st unpeated
St George's Chapter 9 (peated),8.21,0.44,5,$$$,SingleMalt-like,I,I,England,Malt,9 chapter george peated st
Stagg Jr (all batches),8.58,0.4,16,$$$$,Bourbon-like,,,USA,Bourbon,all batches jr stagg
Stagg Jr (batches 1-2),8.45,0.38,13,$$$$,Bourbon-like,,,USA,Bourbon,1 2 batches jr stagg
Stagg Jr (batches 3-6),8.9,0.19,6,$$$$,Bourbon-like,,,USA,Bourbon,3 6 batches jr stagg
Stalk & Barrel 11+1 Canadian whisky,8.2,0.43,16,$$,Rye-like,,,Canada,Blend,11+1 barrel canadian stalk
Stalk & Barrel Red Blend,8.41,0.49,4,$$,Rye-like,,,Canada,Blend,barrel blend red stalk
Stalk & Barrel Rye,8.56,0.19,5,$$$,Rye-like,,,Canada,Blend,barrel rye stalk
Stalk & Barrel Rye (Cask Strength),8.4,0.55,4,$$$,Rye-like,,,Canada,Blend,barrel cask rye stalk strength
Stalk & Barrel Single Malt (All Casks),8.26,0.41,12,$$$,SingleMalt-like,EF,F,Canada,Malt,all barrel casks stalk
Storas 21yo Rare Cask Reserves Blended Malt,8.61,0.04,3,$$$,SingleMalt-like,EF,E,Scotland,Blend,21 blended cask malt rare reserves storas
Stranahan's Colorado Whiskey,8.54,0.32,13,$$$$,Bourbon-like,,,USA,Bourbon,colorado stranahan
Strathisla 12yo,8.21,0.31,13,$$$,SingleMalt-like,EF,E,Scotland,Malt,12 strathisla
Strathmill 12yo,8.37,0.28,3,$$$$,SingleMalt-like,GH,G,Scotland,Malt,12 strathmill
Strathmill 25yo,8.81,0.4,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,25 strathmill
Stronachie 12yo,8.17,0.29,8,$$$,SingleMalt-like,GH,H,Scotland,Malt,12 stronachie
Stronachie 18yo,8.62,0.26,5,$$$$,SingleMalt-like,GH,H,Scotland,Malt,18 stronachie
Sullivans Cove American Oak,8.55,0.27,4,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt,american cove oak sullivans
Sullivans Cove Bourbon Cask Strength,8.54,0.76,6,$$$$,SingleMalt-like,EF,F,Tasmania,Malt,cask cove strength sullivans
Sullivans Cove Double Cask,8.28,0.52,13,$$$$,SingleMalt-like,EF,E,Tasmania,Malt,cask cove double sullivans
Sullivans Cove French Oak,8.67,0.28,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt,cove french oak sullivans
Sullivans Cove Port Cask Strength,8.45,0.59,7,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt,cask cove port strength sullivans
Suntory Old Whisky,8.3,0.33,7,$$$,Scotch-like,,,Japan,Blend,old suntory
Suntory Toki,8.21,0.46,6,$$$,Scotch-like,,,Japan,Blend,suntory toki
Talisker 10yo,8.92,0.18,22,$$$$,SingleMalt-like,I,I,Scotland,Malt,10 talisker
Talisker 18yo,9.18,0.2,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt,18 talisker
Talisker 25yo,8.98,0.3,15,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,25 talisker
Talisker 30yo,9.2,0.34,13,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,30 talisker
Talisker 57 North,8.95,0.21,16,$$$$,SingleMalt-like,I,I,Scotland,Malt,57 north talisker
Talisker Dark Storm,8.75,0.13,8,$$$,SingleMalt-like,I,I,Scotland,Malt,dark storm talisker
Talisker Distiller's Edition (all editions),8.94,0.26,20,$$$$,SingleMalt-like,I,I,Scotland,Malt,all distiller edition editions talisker
Talisker Port Ruighe,8.5,0.41,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,port ruighe talisker
Talisker Skye,8.44,0.25,11,$$,SingleMalt-like,GH,G,Scotland,Malt,skye talisker
Talisker Storm,8.61,0.27,16,$$$$,SingleMalt-like,I,I,Scotland,Malt,storm talisker
Tamdhu 10yo,8.22,0.6,15,$$$$,SingleMalt-like,GH,H,Scotland,Malt,10 tamdhu
Tamdhu Batch Strength (both batches),8.47,0.57,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,batch batches both strength tamdhu
Tamnavulin 12yo,7.68,0.84,4,$$,SingleMalt-like,GH,H,Scotland,Malt,12 tamnavulin
T Bheag,8.47,0.29,14,$$,Scotch-like,,,Scotland,Blend,bheag t
Teacher's Highland Cream,7.96,0.72,11,$,Scotch-like,,,Scotland,Blend,cream highland teacher
Teaninich 10yo (F&F),8.08,0.27,3,,SingleMalt-like,EF,F,Scotland,Malt,10 ff teaninich
Teeling Poitin,8.14,0.24,5,$$,Scotch-like,,,Ireland,Blend,poitin teeling
Teeling Silver Reserve 21yo Sauternes Finish,8.92,0.33,10,$$$$$,SingleMalt-like,GH,H,Ireland,Malt,21 finish reserve sauternes silver teeling
Teeling Single Grain (Wine Cask Finish),8.53,0.32,10,$$$,Scotch-like,,,Ireland,Grain,cask finish grain single teeling wine
Teeling Single Malt,8.47,0.34,7,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,teeling
Teeling Small Batch (Rum Cask Finish),8.31,0.41,19,$$,SingleMalt-like,EF,E,Ireland,Blend,batch cask finish rum small teeling
Teerenpeli 10yo,8.21,0.39,5,$$$$$,SingleMalt-like,GH,H,Finland,Malt,10 teerenpeli
Teerenpeli 8yo,8.42,0.4,6,$$$$$,SingleMalt-like,EF,E,Finland,Malt,8 teerenpeli
Teerenpeli Distillers Choice KARHI,8.73,0.12,3,$$$$,SingleMalt-like,ABC,C,Finland,Malt,choice distillers karhi teerenpeli
Teerenpeli Distillers Choice RASI,8.55,0.34,3,$$$$,SingleMalt-like,EF,E,Finland,Malt,choice distillers rasi teerenpeli
Teerenpeli Distiller's Choice KASKI,8.56,0.26,3,$$$$,SingleMalt-like,EF,E,Finland,Malt,choice distiller kaski teerenpeli
Templeton Rye,8.0,0.41,7,$$$,Rye-like,,,USA,Rye,rye templeton
The Irishman Cask Strength,8.68,0.25,4,$$$$$,Scotch-like,,,Ireland,Blend,cask man strength
The Irishman Founders Reserve,8.32,0.38,6,$$,Scotch-like,,,Ireland,Blend,founders man reserve
The Irishman Original Clan Irish Whiskey,8.16,0.21,4,$$,Scotch-like,,,Ireland,Blend,clan man original
The Irishman Single Malt (NAS),7.92,0.19,5,$$$,SingleMalt-like,EF,E,Ireland,Malt,man
The Nikka 12yo Premium Blended,8.51,0.15,3,$$$$,Scotch-like,,,Japan,Blend,12 blended nikka premium
The Quiet Man 8yo Single Malt,8.23,0.52,5,$$$,SingleMalt-like,GH,H,Ireland,Malt,8 man quiet
The Quiet Man Traditional Irish Whiskey,7.52,1.12,6,$$,Scotch-like,,,Ireland,Blend,man quiet traditional
Thomas H. Handy Sazerac,9.13,0.21,14,$$$$$+,Rye-like,,,USA,Rye,h. handy sazerac thomas
Three Ships 10yo,8.42,0.38,9,$$$$,Scotch-like,,,South Africa,Blend,10 ships three
Three Ships 5yo,8.06,0.49,9,$,Scotch-like,,,South Africa,Blend,5 ships three
Tincup American Whiskey,8.15,0.32,7,$$,Bourbon-like,,,USA,Bourbon,american tincup
Tobermory 10yo,8.22,0.42,20,$$$,SingleMalt-like,EF,F,Scotland,Malt,10 tobermory
